110   4908	0.00964	0.00042	-0.00019	0.00034
115   4908	0.00964	0.00042	-0.00019	0.00034
120   4908	0.01410	0.00061	-0.00028	0.00042
125   4908	0.01763	0.00077	-0.00035	0.00047
130   4908	0.02000	0.00088	-0.00040	0.00050
135   4908	0.02112	0.00093	-0.00042	0.00051
140   4908	0.02109	0.00093	-0.00042	0.00052
145   4908	0.02649	0.00117	-0.00053	0.00059
150   4908	0.02297	0.00105	-0.00046	0.00056
155   4908	0.02438	0.00112	-0.00049	0.00057
160   4908	0.01935	0.00096	-0.00039	0.00051
170   4908	0.01590	0.00079	-0.00032	0.00046
180   4908	0.01967	0.00096	-0.00039	0.00050
190   4908	0.03529	0.00164	-0.00071	0.00069
200   4908	0.04207	0.00193	-0.00084	0.00074
250   4908	0.06413	0.00289	-0.00128	0.00090
300   4908	0.05852	0.00269	-0.00117	0.00083
350   4908	0.05054	0.00241	-0.00101	0.00076
400   4908	0.04164	0.00207	-0.00083	0.00068
450   4908	0.02392	0.00135	-0.00048	0.00051
500   4908	0.01848	0.00114	-0.00037	0.00044
550   4908	0.01485	0.00099	-0.00030	0.00040
600   4908	0.01201	0.00088	-0.00024	0.00036
